"Netpay Configuration","Configuración de NetPay"
"Netpay Credit Card","NetPay — Tarjeta de crédito o débito"
"OxxoPay","NetPay — OXXO Pay (efectivo)"
"Netpay the payment method available for customers<br/>","NetPay como método de pago disponible para tus clientes<br/>"
"Enable","Habilitar"
"Mode","Modo"
"Test","Pruebas"
"Live","Producción"
"Public Key (Test)","Llave pública (Pruebas)"
"Secret Key (Test)","Llave secreta (Pruebas)"
"Public Key (Live)","Llave pública (Producción)"
"Secret Key (Live)","Llave secreta (Producción)"
"Webhook URL","URL del Webhook"
"Update in Netpay","Registrar en NetPay"
"Show Visa icon","Mostrar ícono de Visa"
"Show Mastercard icon","Mostrar ícono de Mastercard"
"Show American Express icon","Mostrar ícono de American Express"
"Credentials are per scope: each website or store view can operate against a different NetPay account. Use the scope switcher at the top left to configure each one.","Las credenciales son por ámbito: cada sitio web o vista de tienda puede operar contra una cuenta de NetPay distinta. Usa el selector de ámbito de la esquina superior izquierda para configurar cada uno."
"Selects which of the two key pairs below is used. Test keys never move real money.","Determina cuál de los dos pares de llaves se usa. Las llaves de pruebas nunca mueven dinero real."
"Starts with pk_. Used only while Mode is set to Test.","Empieza con pk_. Solo se usa cuando el Modo está en Pruebas."
"Starts with sk_. Stored encrypted, so it always displays as asterisks once saved.","Empieza con sk_. Se guarda cifrada, por eso siempre se muestra como asteriscos una vez guardada."
"Production key. Used only while Mode is set to Live.","Llave de producción. Solo se usa cuando el Modo está en Producción."
"Production key. Stored encrypted, so it always displays as asterisks once saved.","Llave de producción. Se guarda cifrada, por eso siempre se muestra como asteriscos una vez guardada."
"Only controls the card brand icons shown at checkout; it does not affect which cards NetPay processes.","Solo controla los íconos de marca que se muestran en el checkout; no afecta qué tarjetas procesa NetPay."
"You are editing the NetPay credentials of %1.","Estás editando las credenciales de NetPay de %1."
"Default Config","la configuración predeterminada"
"website %1","el sitio web %1"
"store view %1","la vista de tienda %1"
"the selected website","el sitio web seleccionado"
"the selected store view","la vista de tienda seleccionada"
"These credentials apply to every store that does not define its own. If your stores use separate NetPay accounts, set each one from its website scope using the store switcher above.","Estas credenciales aplican a toda tienda que no defina las suyas. Si tus tiendas usan cuentas de NetPay distintas, configura cada una desde el ámbito de su sitio web con el selector de arriba."
"This scope has its own credentials, so it operates against its own NetPay account.","Este ámbito tiene credenciales propias, por lo que opera contra su propia cuenta de NetPay."
"This scope has no credentials of its own: it inherits them from the default scope and therefore shares that NetPay account. Uncheck ""Use Default"" to give it a separate account.","Este ámbito no tiene credenciales propias: las hereda de la configuración predeterminada y por lo tanto comparte esa cuenta de NetPay. Desmarca ""Usar predeterminado"" para asignarle una cuenta aparte."
"The <em>Update in Netpay</em> button registers the webhook against the account of the scope selected here.","El botón <em>Registrar en NetPay</em> da de alta el webhook en la cuenta del ámbito seleccionado aquí."
"URL where NetPay notifies asynchronous payments (OXXO). For this store it is %1. It is registered per NetPay account with the button below, and NetPay must be able to reach it over HTTPS. Card payments are settled during checkout and are not notified here.","URL donde NetPay notifica los pagos asíncronos (OXXO). Para esta tienda es %1. Se registra por cuenta de NetPay con el botón de abajo, y NetPay debe poder alcanzarla por HTTPS. Los pagos con tarjeta se liquidan durante el checkout y no se notifican aquí."
"Webhook registered in the NetPay account of %1 (%2 mode). Remember to save the configuration.","Webhook registrado en la cuenta de NetPay de %1 (modo %2). Recuerda guardar la configuración."
"Could not register the webhook in NetPay for %1: %2","No se pudo registrar el webhook en NetPay para %1: %2"
"the default scope","el ámbito predeterminado"
"store view ""%1""","la vista de tienda ""%1"""
"website ""%1""","el sitio web ""%1"""
